created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon May 22 23:30:58 +0000 2023,1660790383918592000,"@C1ntaT4nahA1r3_ @There91194264 Rakyat Indonesia mana  yang mau pilih calon presiden, yang tidak berprestasi seperti Ganjar,Prabowo,Muhaimin ? Indonesia presidennya harus orang cerdas,berani serta memiliki rekam jejak Prestasi yaitu Anies Rasyid Baswedan.""",0,0,0,0,in,1509700424018063369,1660527071008010240,MocangTian,https://twitter.com/MocangTian/status/1660790383918592000
Mon May 22 23:30:44 +0000 2023,1660790324493713408,"@marzukialie_MA Apa bedanya pak Prabowo dgn sekarang , beliaunya menterinya pak jokowi, logika berpikir mestinya kebijakannya akan sama saja . Cara sederhana berpikir pilih Ganjar atau  Prabowo akn sama sj  dgn keadaan saat ini… tinggal kita nyaman nggak dgn keadaaan sekarang ? Salam perubahan",0,0,0,0,in,1314352130703028224,1659873985436463106,sudarma70317676,https://twitter.com/sudarma70317676/status/1660790324493713408
Mon May 22 23:30:18 +0000 2023,1660790218365227009,@Hariyan77555830 @IMCMushroom Kenapa Prabowo bisa lepas tuduhan radikal radikul dan lainnya? Apakah krn pro rezim?,0,0,0,0,in,472116790,1660643935776124928,Tian_Tleman,https://twitter.com/Tian_Tleman/status/1660790218365227009
Mon May 22 23:29:46 +0000 2023,1660790082939527169,"@Chaves1305 @Paltiwest Kehadiran Gibran secara fisik pd acara deklarasi dukungan tersebut adlh bukti bahwa dia memang mendukung Prabowo, terlepas dari status dia sebagai Kader PDIP dan Walikota. Cuman Gibran telah melanggar etika politik!"";0;0;0;0;in;1603759397582213120;1660593644263591936;DilanDaewokas;https://twitter.com/DilanDaewokas/status/1660790082939527169
Mon May 22 23:29:45 +0000 2023;1660790080666206209;""BERKHIANAT TEMANI PRABOWO TEMUI RELAWAN JOKOWI. BERANIKAH PDIP PECAT GIBRAN?  https://t.co/Z0HUGxnrL0""",0,0,0,0,in,1616209097254375425,1660790080666206209,SsPasadena,https://twitter.com/SsPasadena/status/1660790080666206209
Mon May 22 23:29:03 +0000 2023,1660789903486255105,Cak Imin Tegaskan Tak Ada Nama AHY sebagai Cawapres KKIR - CNN Indonesia #Prabowo #PrabowoSubianto https://t.co/uE1KV8RU2J,0,0,2,0,in,1068101963059879936,1660789903486255105,AdrianaDaneen,https://twitter.com/AdrianaDaneen/status/1660789903486255105
Mon May 22 23:28:38 +0000 2023,1660789796661506049,"Saya pendukung Jokowi militan, tp skr saya fukung Prabowo, bkn berarti GP tdk baik tp saya tdk yakin GP bisa melanjutkam pembangunan yg dimulai Jokowi, krn dia jg sebagsi Petugas Psrtai,  kalo PS ketum partai,  Fadlizon saya anggab kartu mati.""",0,0,0,2,in,1383301453528244224,1660789796661506049,sukmawijaya91,https://twitter.com/sukmawijaya91/status/1660789796661506049
Mon May 22 23:28:05 +0000 2023,1660789661495857152,@yaniarsim @gibran_tweet Strategi PDIP ciamik banget. Ini strategi berdiri diatas 2 kaki yg tidak gampang di deteksi.klo sampai Gibran jd cawapresnya Prabowo ini akan jadi keuntungan ganda buat PDIP.Jadi klopun Ganjar kalah masih bisa berharap pada Gibran 😂😂😂,0,0,0,0,in,1490646477416251395,1660637102663688205,rochmanalex3,https://twitter.com/rochmanalex3/status/1660789661495857152
Mon May 22 23:26:23 +0000 2023,1660789233311965186,@ayomaju789 @ganjarpranowo @prabowo Sip..  Asal jangan anis,0,0,0,0,in,1336498517028716546,1660526242473578496,BBerizik,https://twitter.com/BBerizik/status/1660789233311965186
Mon May 22 23:26:17 +0000 2023,1660789208297119745,"Udah 2x Prabowo kalah , Pemilu 2024 inilah jatahnya untuk menang Kata Pak Jokowi https://t.co/C2JD3BjQPN",0,0,1,9,in,1481102448446283776,1660789208297119745,JulBayur3,https://twitter.com/JulBayur3/status/1660789208297119745
Mon May 22 23:25:46 +0000 2023,1660789077011226624,@danielht2009 @ganjarpranowo @prabowo Betul..  Licik dia👍👍,0,0,0,0,in,1336498517028716546,1660526242473578496,BBerizik,https://twitter.com/BBerizik/status/1660789077011226624
Mon May 22 23:25:43 +0000 2023,1660789064877080577,"Biarpun terasa ga logis Gibran dipasang jadi wakil Prabowo, tapi kalaulah dagelan itu jadi nyata, fix tak ada satupun alasanku memilih Prabowo",0,0,0,0,in,189171148,1660789064877080577,EmosiBangsa_,https://twitter.com/EmosiBangsa_/status/1660789064877080577
Mon May 22 23:24:39 +0000 2023,1660788795137216512,@karnaNya @ganjarpranowo @prabowo Khas dia waktu ngibul,0,0,0,0,in,1336498517028716546,1660526242473578496,BBerizik,https://twitter.com/BBerizik/status/1660788795137216512
Mon May 22 23:24:22 +0000 2023,1660788725495001089,"@Jelli_cent @prabowo Pantes @prabowo  kalah Mulu,, kualitas timnya kayak gini..",0,0,0,0,in,838005088408875008,1660251191429967872,AaHermawan16,https://twitter.com/AaHermawan16/status/1660788725495001089
Mon May 22 23:23:16 +0000 2023,1660788449501388800,@Ahwal08 @saiful_mujani @yunartowijaya Monggo dipersilahkan komennya. Bebas. Apapun komennya tetap #Prabowo pilihanku Presiden 2024,0,0,0,0,in,1189039138835554304,1660749435054456832,BANGSAygSUJUD,https://twitter.com/BANGSAygSUJUD/status/1660788449501388800
Mon May 22 23:23:09 +0000 2023,1660788419403059200,"Efek Gibran Hadiri Deklarasi Prabowo, Arya Bima PDIP Tegas: Saya Pastikan Buntutnya Tak Akan Panjang! https://t.co/v7LuQreHRn",0,0,0,0,in,261160000,1660788419403059200,Newstagar,https://twitter.com/Newstagar/status/1660788419403059200
Mon May 22 23:22:53 +0000 2023,1660788350171889664,PRABOWO MAHFUD FOR RI 1 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 https://t.co/6endTFwdoU,0,0,0,0,in,1505137952053071874,1660788350171889664,benzo_vic,https://twitter.com/benzo_vic/status/1660788350171889664
Mon May 22 23:22:35 +0000 2023,1660788276968710145,"@123ardhan @Dennysiregar7 Berarti Prabowo bodoh dong, minta Gibran jd cawapresnya.",0,0,0,0,in,1629786994091110401,1660658490992640000,DuduAku16,https://twitter.com/DuduAku16/status/1660788276968710145
Mon May 22 23:20:19 +0000 2023,1660787704144211968,"@susieeeID @AntiPekines @Gerindra @prabowo Alhamdulillah setau saya bersaksi bahwa partai UMMAT @DPP_PartaiUmmat sejauh ini tidak ada yang namanya Mahar"",benar2 melalui seleksi,banyak yg berintegritas dari UMMAT""",0,0,0,0,in,1534819411940429825,1660653325518356486,indowfofficial,https://twitter.com/indowfofficial/status/1660787704144211968
Mon May 22 23:20:10 +0000 2023,1660787666147999746,"@okyike @AntiPekines @Gerindra @prabowo caleg berkontribusi dalam membuat  merancang tentang UU, ada banyak hal harus masuk ke legislatif, gimana bilang gak penting? ada juga pelantikan pejabat tertentu harus persetujuan leg2, bahkan bisa juga leg2 me makzul kan RI1 kalau kinerja menyimpang.",0,0,0,0,in,707897168,1660653325518356486,susieeeID,https://twitter.com/susieeeID/status/1660787666147999746
Mon May 22 23:20:02 +0000 2023,1660787634040614912,Ketua Umum Partai Gerindra Prabowo Subianto akhirnya mengungkap alasannya mau bergabung dengan kabinet Presiden Jokowi setelah kalah dalam Pilpres 2019.   #Sindonews #news .https://t.co/l09nwW94Nd,0,0,0,3,in,231355136,1660787634040614912,SINDOnews,https://twitter.com/SINDOnews/status/1660787634040614912
